"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"637",51.7,"up",39.827589947694,"success",8,0.1,1,1,1,3.5
"638",41.7,"up",37.6162289140645,"success",9,0.1,1,1,1,3.5
"639",35.8,"up",36.3636983665977,"success",10,0.1,1,1,1,3.5
"730",NA,"up",11.6374110033947,"success",4,0.1,1,1,1,4
"731",NA,"up",12.3565222810722,"success",5,0.1,1,1,1,4
"732",NA,"up",12.9505702662606,"success",6,0.1,1,1,1,4
"733",76.7,"up",41.0936518338007,"success",7,0.1,1,1,1,4
"734",51.6,"up",38.5523305058229,"success",8,0.1,1,1,1,4
"735",41.5,"up",36.9799919901797,"success",9,0.1,1,1,1,4
"827",NA,"up",12.0110523655831,"success",4,0.1,1,1,1,5
"828",NA,"up",12.7350647489586,"success",5,0.1,1,1,1,5
"829",NA,"up",13.332429625001,"success",6,0.1,1,1,1,5
"830",76.9,"up",38.7636281867337,"success",7,0.1,1,1,1,5
"831",51.4,"up",37.4445917171529,"success",8,0.1,1,1,1,5
"924",NA,"up",12.0034187749963,"success",3,0.1,1,1,1,10
"925",NA,"up",12.938643775863,"success",4,0.1,1,1,1,10
"926",NA,"up",13.6726123450239,"success",5,0.1,1,1,1,10
"1022",NA,"up",12.3830585279502,"success",3,0.1,1,1,1,15
"1023",NA,"up",13.3238184945635,"success",4,0.1,1,1,1,15
"1120",NA,"up",12.5925254874425,"success",3,0.1,1,1,1,20
"1218",NA,"up",12.7255204328714,"success",3,0.1,1,1,1,25
"1316",NA,"up",11.5062652648754,"success",2,0.1,1,1,1,30
"1317",NA,"up",12.8175194575768,"success",3,0.1,1,1,1,30
"1415",NA,"up",11.5721506098531,"success",2,0.1,1,1,1,35
"1514",NA,"up",11.6225542746156,"success",2,0.1,1,1,1,40
"1613",NA,"up",11.6623632490237,"success",2,0.1,1,1,1,45
"1712",NA,"up",11.6946024503131,"success",2,0.1,1,1,1,50
"1811",NA,"up",11.7212445684335,"success",2,0.1,1,1,1,55
"1910",NA,"up",11.743631371533,"success",2,0.1,1,1,1,60
"2009",NA,"up",11.7627073984362,"success",2,0.1,1,1,1,65
"2108",NA,"up",11.7791567153197,"success",2,0.1,1,1,1,70
"2207",NA,"up",11.7934871272187,"success",2,0.1,1,1,1,75
"2306",NA,"up",11.8060833090332,"success",2,0.1,1,1,1,80
"2405",NA,"up",11.8172422391795,"success",2,0.1,1,1,1,85
"2504",NA,"up",11.8271966360612,"success",2,0.1,1,1,1,90
"2603",NA,"up",11.8361316232218,"success",2,0.1,1,1,1,95
"2702",NA,"up",11.8441961714783,"success",2,0.1,1,1,1,100
"1",0,"0",0,"Fail",1,0.1,1,1,1,1e-05
"2",0,"0",0,"Fail",2,0.1,1,1,1,1e-05
"3",0,"0",0,"Fail",3,0.1,1,1,1,1e-05
"4",0,"0",0,"Fail",4,0.1,1,1,1,1e-05
"5",0,"0",0,"Fail",5,0.1,1,1,1,1e-05
"6",0,"0",0,"Fail",6,0.1,1,1,1,1e-05
"7",0,"0",0,"Fail",7,0.1,1,1,1,1e-05
