"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"76",17.2,"up",7.75008256197835,"success",50,0.1,0.1,1,1,1
"77",16.9,"up",7.63645839481083,"success",51,0.1,0.1,1,1,1
"78",16.7,"up",7.53068503420731,"success",52,0.1,0.1,1,1,1
"79",16.4,"up",7.42741313757331,"success",53,0.1,0.1,1,1,1
"80",16.1,"up",7.32896968656613,"success",54,0.1,0.1,1,1,1
"81",15.9,"up",7.23749523957248,"success",55,0.1,0.1,1,1,1
"82",15.7,"up",7.15011616536776,"success",56,0.1,0.1,1,1,1
"127",32,"up",13.9693067411592,"success",12,0.1,0.25,1,1,1
"128",28.6,"up",12.6807198407159,"success",13,0.1,0.25,1,1,1
"129",26.1,"up",11.6339645951653,"success",14,0.1,0.25,1,1,1
"130",24.1,"up",10.7790083946867,"success",15,0.1,0.25,1,1,1
"131",22.5,"up",10.0760631860295,"success",16,0.1,0.25,1,1,1
"132",21.2,"up",9.4909732262448,"success",17,0.1,0.25,1,1,1
"133",20,"up",8.99411704017206,"success",18,0.1,0.25,1,1,1
"134",19,"up",8.57121402795289,"success",19,0.1,0.25,1,1,1
"135",18.2,"up",8.20869057556867,"success",20,0.1,0.25,1,1,1
"136",17.4,"up",7.89097817708382,"success",21,0.1,0.25,1,1,1
"137",16.7,"up",7.61309226094907,"success",22,0.1,0.25,1,1,1
"138",16.1,"up",7.36866864218838,"success",23,0.1,0.25,1,1,1
"216",30.7,"up",13.7403094233219,"success",7,0.1,0.5,1,1,1
"217",25.6,"up",11.577212598357,"success",8,0.1,0.5,1,1,1
"218",22.3,"up",10.1131532993943,"success",9,0.1,0.5,1,1,1
"219",20,"up",9.08027241692092,"success",10,0.1,0.5,1,1,1
"220",18.2,"up",8.31661284189085,"success",11,0.1,0.5,1,1,1
"221",16.8,"up",7.7351143836975,"success",12,0.1,0.5,1,1,1
"310",32.9,"up",14.8186938654872,"success",5,0.1,0.75,1,1,1
"311",25.1,"up",11.4912567107206,"success",6,0.1,0.75,1,1,1
"312",20.9,"up",9.59182417681834,"success",7,0.1,0.75,1,1,1
"313",18.2,"up",8.40318004920052,"success",8,0.1,0.75,1,1,1
"406",24.6,"up",11.3886429371772,"success",5,0.1,1,1,1,1
"407",19.8,"up",9.17876616114334,"success",6,0.1,1,1,1,1
"502",29.6,"up",14.0817379111506,"success",3,0.1,2,1,1,1
"600",27.1,"up",12.9524876971957,"success",3,0.1,2.22222222222222,1,1,1
"698",25.2,"up",12.0790942421595,"success",3,0.1,2.44444444444444,1,1,1
"796",23.6,"up",11.3817417644328,"success",3,0.1,2.66666666666667,1,1,1
"894",22.4,"up",10.830332394002,"success",3,0.1,2.88888888888889,1,1,1
"11000",0,"0",0,"Fail",1,0.1,1e-05,1,1,1
"21000",0,"0",0,"Fail",2,0.1,1e-05,1,1,1
"3461",0,"0",0,"Fail",3,0.1,1e-05,1,1,1
"4100",0,"0",0,"Fail",4,0.1,1e-05,1,1,1
"5100",0,"0",0,"Fail",5,0.1,1e-05,1,1,1
"6100",0,"0",0,"Fail",6,0.1,1e-05,1,1,1
"7100",0,"0",0,"Fail",7,0.1,1e-05,1,1,1
"8100",0,"0",0,"Fail",8,0.1,1e-05,1,1,1
"9100",0,"0",0,"Fail",9,0.1,1e-05,1,1,1
"10100",0,"0",0,"Fail",10,0.1,1e-05,1,1,1
"11100",0,"0",0,"Fail",11,0.1,1e-05,1,1,1
"12100",0,"0",0,"Fail",12,0.1,1e-05,1,1,1
"13100",0,"0",0,"Fail",13,0.1,1e-05,1,1,1
"14100",0,"0",0,"Fail",14,0.1,1e-05,1,1,1
"15100",0,"0",0,"Fail",15,0.1,1e-05,1,1,1
"16100",0,"0",0,"Fail",16,0.1,1e-05,1,1,1
"17100",0,"0",0,"Fail",17,0.1,1e-05,1,1,1
"18100",0,"0",0,"Fail",18,0.1,1e-05,1,1,1
"19100",0,"0",0,"Fail",19,0.1,1e-05,1,1,1
"20100",0,"0",0,"Fail",20,0.1,1e-05,1,1,1
"21100",0,"0",0,"Fail",21,0.1,1e-05,1,1,1
"22100",0,"0",0,"Fail",22,0.1,1e-05,1,1,1
"23100",0,"0",0,"Fail",23,0.1,1e-05,1,1,1
"24100",0,"0",0,"Fail",24,0.1,1e-05,1,1,1
"25100",0,"0",0,"Fail",25,0.1,1e-05,1,1,1
"26100",0,"0",0,"Fail",26,0.1,1e-05,1,1,1
"27100",0,"0",0,"Fail",27,0.1,1e-05,1,1,1
"28100",0,"0",0,"Fail",28,0.1,1e-05,1,1,1
"29100",0,"0",0,"Fail",29,0.1,1e-05,1,1,1
"30100",0,"0",0,"Fail",30,0.1,1e-05,1,1,1
"31100",0,"0",0,"Fail",31,0.1,1e-05,1,1,1
"32100",0,"0",0,"Fail",32,0.1,1e-05,1,1,1
"33100",0,"0",0,"Fail",33,0.1,1e-05,1,1,1
"3462",0,"0",0,"Fail",34,0.1,1e-05,1,1,1
"3510",0,"0",0,"Fail",35,0.1,1e-05,1,1,1
"3610",0,"0",0,"Fail",36,0.1,1e-05,1,1,1
"3710",0,"0",0,"Fail",37,0.1,1e-05,1,1,1
"3810",0,"0",0,"Fail",38,0.1,1e-05,1,1,1
"3910",0,"0",0,"Fail",39,0.1,1e-05,1,1,1
"4010",0,"0",0,"Fail",40,0.1,1e-05,1,1,1
"4110",0,"0",0,"Fail",41,0.1,1e-05,1,1,1
"4210",0,"0",0,"Fail",42,0.1,1e-05,1,1,1
"4310",0,"0",0,"Fail",43,0.1,1e-05,1,1,1
"4410",0,"0",0,"Fail",44,0.1,1e-05,1,1,1
"4510",0,"0",0,"Fail",45,0.1,1e-05,1,1,1
"4610",0,"0",0,"Fail",46,0.1,1e-05,1,1,1
"4710",0,"0",0,"Fail",47,0.1,1e-05,1,1,1
"4810",0,"0",0,"Fail",48,0.1,1e-05,1,1,1
"4910",0,"0",0,"Fail",49,0.1,1e-05,1,1,1
"5010",0,"0",0,"Fail",50,0.1,1e-05,1,1,1
"5110",0,"0",0,"Fail",51,0.1,1e-05,1,1,1
"5210",0,"0",0,"Fail",52,0.1,1e-05,1,1,1
"5310",0,"0",0,"Fail",53,0.1,1e-05,1,1,1
"5410",0,"0",0,"Fail",54,0.1,1e-05,1,1,1
"5510",0,"0",0,"Fail",55,0.1,1e-05,1,1,1
"5610",0,"0",0,"Fail",56,0.1,1e-05,1,1,1
"5710",0,"0",0,"Fail",57,0.1,1e-05,1,1,1
"5810",0,"0",0,"Fail",58,0.1,1e-05,1,1,1
"5910",0,"0",0,"Fail",59,0.1,1e-05,1,1,1
"6010",0,"0",0,"Fail",60,0.1,1e-05,1,1,1
"6110",0,"0",0,"Fail",61,0.1,1e-05,1,1,1
"6210",0,"0",0,"Fail",62,0.1,1e-05,1,1,1
"6310",0,"0",0,"Fail",63,0.1,1e-05,1,1,1
"6410",0,"0",0,"Fail",64,0.1,1e-05,1,1,1
"6510",0,"0",0,"Fail",65,0.1,1e-05,1,1,1
"6610",0,"0",0,"Fail",66,0.1,1e-05,1,1,1
"6710",0,"0",0,"Fail",67,0.1,1e-05,1,1,1
"6810",0,"0",0,"Fail",68,0.1,1e-05,1,1,1
"6910",0,"0",0,"Fail",69,0.1,1e-05,1,1,1
"7010",0,"0",0,"Fail",70,0.1,1e-05,1,1,1
"7110",0,"0",0,"Fail",71,0.1,1e-05,1,1,1
"7210",0,"0",0,"Fail",72,0.1,1e-05,1,1,1
"7310",0,"0",0,"Fail",73,0.1,1e-05,1,1,1
"7410",0,"0",0,"Fail",74,0.1,1e-05,1,1,1
"7510",0,"0",0,"Fail",75,0.1,1e-05,1,1,1
"7610",0,"0",0,"Fail",76,0.1,1e-05,1,1,1
"7710",0,"0",0,"Fail",77,0.1,1e-05,1,1,1
"7810",0,"0",0,"Fail",78,0.1,1e-05,1,1,1
"7910",0,"0",0,"Fail",79,0.1,1e-05,1,1,1
"8010",0,"0",0,"Fail",80,0.1,1e-05,1,1,1
"8110",0,"0",0,"Fail",81,0.1,1e-05,1,1,1
"8210",0,"0",0,"Fail",82,0.1,1e-05,1,1,1
"83",0,"0",0,"Fail",83,0.1,1e-05,1,1,1
"84",0,"0",0,"Fail",84,0.1,1e-05,1,1,1
"85",0,"0",0,"Fail",85,0.1,1e-05,1,1,1
"86",0,"0",0,"Fail",86,0.1,1e-05,1,1,1
"87",0,"0",0,"Fail",87,0.1,1e-05,1,1,1
"88",0,"0",0,"Fail",88,0.1,1e-05,1,1,1
"89",0,"0",0,"Fail",89,0.1,1e-05,1,1,1
"90",0,"0",0,"Fail",90,0.1,1e-05,1,1,1
"91",0,"0",0,"Fail",91,0.1,1e-05,1,1,1
"92",0,"0",0,"Fail",92,0.1,1e-05,1,1,1
"93",0,"0",0,"Fail",93,0.1,1e-05,1,1,1
"94",0,"0",0,"Fail",94,0.1,1e-05,1,1,1
"95",0,"0",0,"Fail",95,0.1,1e-05,1,1,1
"96",0,"0",0,"Fail",96,0.1,1e-05,1,1,1
"97",0,"0",0,"Fail",97,0.1,1e-05,1,1,1
"98",0,"0",0,"Fail",98,0.1,1e-05,1,1,1
"99",0,"0",0,"Fail",99,0.1,1e-05,1,1,1
"100",0,"0",0,"Fail",100,0.1,1e-05,1,1,1
"101",0,"0",0,"Fail",1,0.1,1e-04,1,1,1
"102",0,"0",0,"Fail",2,0.1,1e-04,1,1,1
"103",0,"0",0,"Fail",3,0.1,1e-04,1,1,1
"104",0,"0",0,"Fail",4,0.1,1e-04,1,1,1
"105",0,"0",0,"Fail",5,0.1,1e-04,1,1,1
"106",0,"0",0,"Fail",6,0.1,1e-04,1,1,1
"107",0,"0",0,"Fail",7,0.1,1e-04,1,1,1
"108",0,"0",0,"Fail",8,0.1,1e-04,1,1,1
"109",0,"0",0,"Fail",9,0.1,1e-04,1,1,1
"110",0,"0",0,"Fail",10,0.1,1e-04,1,1,1
"111",0,"0",0,"Fail",11,0.1,1e-04,1,1,1
"112",0,"0",0,"Fail",12,0.1,1e-04,1,1,1
"113",0,"0",0,"Fail",13,0.1,1e-04,1,1,1
"114",0,"0",0,"Fail",14,0.1,1e-04,1,1,1
"115",0,"0",0,"Fail",15,0.1,1e-04,1,1,1
