"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"526",23.5,"up",10.3458188901116,"success",42,0.1,0.5,6,1,1
"527",22.9,"up",10.105246909275,"success",43,0.1,0.5,6,1,1
"528",22.4,"up",9.88168496628601,"success",44,0.1,0.5,6,1,1
"529",21.9,"up",9.67072106911997,"success",45,0.1,0.5,6,1,1
"530",21.4,"up",9.47153051443195,"success",46,0.1,0.5,6,1,1
"531",21,"up",9.28584804627943,"success",47,0.1,0.5,6,1,1
"532",20.6,"up",9.11012524650925,"success",48,0.1,0.5,6,1,1
"533",20.2,"up",8.94351070380481,"success",49,0.1,0.5,6,1,1
"534",19.8,"up",8.78544639251042,"success",50,0.1,0.5,6,1,1
"535",19.5,"up",8.63773762545128,"success",51,0.1,0.5,6,1,1
"536",19.1,"up",8.49482843085925,"success",52,0.1,0.5,6,1,1
"537",18.8,"up",8.36114978526223,"success",53,0.1,0.5,6,1,1
"538",18.5,"up",8.23379247130527,"success",54,0.1,0.5,6,1,1
"539",18.2,"up",8.1122274915928,"success",55,0.1,0.5,6,1,1
"540",17.9,"up",7.99617107465763,"success",56,0.1,0.5,6,1,1
"541",17.7,"up",7.88752461048829,"success",57,0.1,0.5,6,1,1
"542",17.4,"up",7.78142227381913,"success",58,0.1,0.5,6,1,1
"543",17.2,"up",7.68195438464293,"success",59,0.1,0.5,6,1,1
"544",16.9,"up",7.5845002822102,"success",60,0.1,0.5,6,1,1
"545",16.7,"up",7.4932887018257,"success",61,0.1,0.5,6,1,1
"546",16.5,"up",7.40579677260851,"success",62,0.1,0.5,6,1,1
"547",16.3,"up",7.32174459731596,"success",63,0.1,0.5,6,1,1
"548",16.1,"up",7.24095698679116,"success",64,0.1,0.5,6,1,1
"549",15.9,"up",7.16333530241854,"success",65,0.1,0.5,6,1,1
"550",15.7,"up",7.08873019892124,"success",66,0.1,0.5,6,1,1
"551",15.5,"up",7.01689702335037,"success",67,0.1,0.5,6,1,1
"585",32.2,"up",13.8521233956372,"success",17,0.1,1,6,1,1
"586",29.7,"up",12.951954588003,"success",18,0.1,1,6,1,1
"587",27.7,"up",12.1654127456515,"success",19,0.1,1,6,1,1
"588",26,"up",11.479984033175,"success",20,0.1,1,6,1,1
"589",24.6,"up",10.8857083674125,"success",21,0.1,1,6,1,1
"590",23.4,"up",10.3666191692534,"success",22,0.1,1,6,1,1
"591",22.3,"up",9.90882315267554,"success",23,0.1,1,6,1,1
"592",21.4,"up",9.50654940989452,"success",24,0.1,1,6,1,1
"593",20.6,"up",9.14890283116251,"success",25,0.1,1,6,1,1
"594",19.8,"up",8.82701295734197,"success",26,0.1,1,6,1,1
"595",19.2,"up",8.54107345990266,"success",27,0.1,1,6,1,1
"596",18.5,"up",8.27919939643397,"success",28,0.1,1,6,1,1
"597",18,"up",8.04513774911607,"success",29,0.1,1,6,1,1
"598",17.4,"up",7.82896459406294,"success",30,0.1,1,6,1,1
"599",17,"up",7.63499457666459,"success",31,0.1,1,6,1,1
"600",16.5,"up",7.45445240768726,"success",32,0.1,1,6,1,1
"601",16.1,"up",7.28989721565122,"success",33,0.1,1,6,1,1
"602",15.7,"up",7.13780660100863,"success",34,0.1,1,6,1,1
"669",31.9,"up",13.8205237938531,"success",14,0.1,1.25,6,1,1
"670",29,"up",12.7278467362462,"success",15,0.1,1.25,6,1,1
"671",26.7,"up",11.8038813130146,"success",16,0.1,1.25,6,1,1
"672",24.9,"up",11.030433361511,"success",17,0.1,1.25,6,1,1
"673",23.3,"up",10.3730314121782,"success",18,0.1,1.25,6,1,1
"674",22.1,"up",9.8185690596142,"success",19,0.1,1.25,6,1,1
"675",21,"up",9.33959318861535,"success",20,0.1,1.25,6,1,1
"676",20,"up",8.9231912495877,"success",21,0.1,1.25,6,1,1
"677",19.2,"up",8.56146494614398,"success",22,0.1,1.25,6,1,1
"678",18.4,"up",8.24075297340907,"success",23,0.1,1.25,6,1,1
"679",17.7,"up",7.95697862352062,"success",24,0.1,1.25,6,1,1
"680",17.1,"up",7.70479228519696,"success",25,0.1,1.25,6,1,1
"681",16.5,"up",7.47765681394933,"success",26,0.1,1.25,6,1,1
"682",16,"up",7.27418780793113,"success",27,0.1,1.25,6,1,1
"756",31.7,"up",13.7926437481368,"success",12,0.1,1.5,6,1,1
"757",28.3,"up",12.5104889469583,"success",13,0.1,1.5,6,1,1
"758",25.8,"up",11.4720975616543,"success",14,0.1,1.5,6,1,1
"759",23.9,"up",10.6294910856726,"success",15,0.1,1.5,6,1,1
"760",22.3,"up",9.93385235666196,"success",16,0.1,1.5,6,1,1
"761",21,"up",9.35519898051432,"success",17,0.1,1.5,6,1,1
"762",19.8,"up",8.86428553397064,"success",18,0.1,1.5,6,1,1
"763",18.8,"up",8.4465111114683,"success",19,0.1,1.5,6,1,1
"764",18,"up",8.08831276182941,"success",20,0.1,1.5,6,1,1
"765",17.2,"up",7.77461738957439,"success",21,0.1,1.5,6,1,1
"766",16.5,"up",7.5001523573666,"success",22,0.1,1.5,6,1,1
"767",15.9,"up",7.2586597856429,"success",23,0.1,1.5,6,1,1
"845",34.9,"up",14.5157857107535,"success",42,0.1,0.25,4.16666666666667,1,1
"846",33.7,"up",14.1611738287539,"success",43,0.1,0.25,4.16666666666667,1,1
"847",32.5,"up",13.8064244203748,"success",44,0.1,0.25,4.16666666666667,1,1
"848",31.5,"up",13.4700352431783,"success",45,0.1,0.25,4.16666666666667,1,1
"849",30.5,"up",13.1416434573106,"success",46,0.1,0.25,4.16666666666667,1,1
"850",29.7,"up",12.8348647412415,"success",47,0.1,0.25,4.16666666666667,1,1
"851",28.9,"up",12.5386406916217,"success",48,0.1,0.25,4.16666666666667,1,1
"852",28.1,"up",12.2538326446726,"success",49,0.1,0.25,4.16666666666667,1,1
"853",27.5,"up",11.9902932871974,"success",50,0.1,0.25,4.16666666666667,1,1
"854",26.8,"up",11.7330839098153,"success",51,0.1,0.25,4.16666666666667,1,1
"855",26.2,"up",11.4913599940581,"success",52,0.1,0.25,4.16666666666667,1,1
"856",25.7,"up",11.2642513287176,"success",53,0.1,0.25,4.16666666666667,1,1
"857",25.1,"up",11.0430412572857,"success",54,0.1,0.25,4.16666666666667,1,1
"858",24.7,"up",10.8391033354035,"success",55,0.1,0.25,4.16666666666667,1,1
"859",24.2,"up",10.6403070894427,"success",56,0.1,0.25,4.16666666666667,1,1
"860",23.7,"up",10.4502028246919,"success",57,0.1,0.25,4.16666666666667,1,1
"861",23.3,"up",10.2715793266505,"success",58,0.1,0.25,4.16666666666667,1,1
"862",22.9,"up",10.1005283400683,"success",59,0.1,0.25,4.16666666666667,1,1
"863",22.5,"up",9.93668387473195,"success",60,0.1,0.25,4.16666666666667,1,1
"864",22.2,"up",9.78256004274671,"success",61,0.1,0.25,4.16666666666667,1,1
"865",21.8,"up",9.63186000418523,"success",62,0.1,0.25,4.16666666666667,1,1
"866",21.5,"up",9.49005849713881,"success",63,0.1,0.25,4.16666666666667,1,1
"867",21.2,"up",9.35383208412864,"success",64,0.1,0.25,4.16666666666667,1,1
"868",20.9,"up",9.22296288412316,"success",65,0.1,0.25,4.16666666666667,1,1
"869",20.6,"up",9.09716691170243,"success",66,0.1,0.25,4.16666666666667,1,1
"870",20.3,"up",8.97609648232002,"success",67,0.1,0.25,4.16666666666667,1,1
"871",20,"up",8.85955131897018,"success",68,0.1,0.25,4.16666666666667,1,1
"872",19.8,"up",8.74978634501541,"success",69,0.1,0.25,4.16666666666667,1,1
"873",19.5,"up",8.64160288053552,"success",70,0.1,0.25,4.16666666666667,1,1
"874",19.3,"up",8.5395982648075,"success",71,0.1,0.25,4.16666666666667,1,1
"875",19,"up",8.43884331798425,"success",72,0.1,0.25,4.16666666666667,1,1
"876",18.8,"up",8.34392674134808,"success",73,0.1,0.25,4.16666666666667,1,1
"877",18.6,"up",8.25226565436997,"success",74,0.1,0.25,4.16666666666667,1,1
"878",18.4,"up",8.16366036255777,"success",75,0.1,0.25,4.16666666666667,1,1
"879",18.2,"up",8.07796309971211,"success",76,0.1,0.25,4.16666666666667,1,1
"880",18,"up",7.99508707440392,"success",77,0.1,0.25,4.16666666666667,1,1
"881",17.8,"up",7.91493048642458,"success",78,0.1,0.25,4.16666666666667,1,1
"882",17.6,"up",7.83733142665052,"success",79,0.1,0.25,4.16666666666667,1,1
"883",17.4,"up",7.76211583319897,"success",80,0.1,0.25,4.16666666666667,1,1
"884",17.2,"up",7.68917273966065,"success",81,0.1,0.25,4.16666666666667,1,1
"885",17,"up",7.61846361031959,"success",82,0.1,0.25,4.16666666666667,1,1
"886",16.9,"up",7.55209074961108,"success",83,0.1,0.25,4.16666666666667,1,1
"887",16.7,"up",7.48559409377727,"success",84,0.1,0.25,4.16666666666667,1,1
"888",16.5,"up",7.42101598889882,"success",85,0.1,0.25,4.16666666666667,1,1
"889",16.4,"up",7.36043331942506,"success",86,0.1,0.25,4.16666666666667,1,1
"890",16.2,"up",7.29937648816637,"success",87,0.1,0.25,4.16666666666667,1,1
"891",16.1,"up",7.24225252462531,"success",88,0.1,0.25,4.16666666666667,1,1
"892",15.9,"up",7.18456966006765,"success",89,0.1,0.25,4.16666666666667,1,1
"893",15.8,"up",7.13070028465001,"success",90,0.1,0.25,4.16666666666667,1,1
"894",15.6,"up",7.07614114156621,"success",91,0.1,0.25,4.16666666666667,1,1
"895",15.5,"up",7.02520229392667,"success",92,0.1,0.25,4.16666666666667,1,1
"896",15.4,"up",6.97563562287967,"success",93,0.1,0.25,4.16666666666667,1,1
"904",34.4,"up",14.4878521256272,"success",22,0.1,0.5,4.16666666666667,1,1
"905",32.1,"up",13.7761866884614,"success",23,0.1,0.5,4.16666666666667,1,1
"906",30.3,"up",13.1245904266428,"success",24,0.1,0.5,4.16666666666667,1,1
