"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1539",23,"up",10.1459710635948,"success",36,0.1,1,10,1,1
"1540",22.4,"up",9.87699883508404,"success",37,0.1,1,10,1,1
"1541",21.8,"up",9.62607861538165,"success",38,0.1,1,10,1,1
"1542",21.2,"up",9.3917175470548,"success",39,0.1,1,10,1,1
"1543",20.7,"up",9.1751157364409,"success",40,0.1,1,10,1,1
"1544",20.3,"up",8.9746470731629,"success",41,0.1,1,10,1,1
"1545",19.8,"up",8.78391523319803,"success",42,0.1,1,10,1,1
"1546",19.4,"up",8.60701792949551,"success",43,0.1,1,10,1,1
"1547",19,"up",8.44032600951359,"success",44,0.1,1,10,1,1
"1548",18.6,"up",8.28318586369771,"success",45,0.1,1,10,1,1
"1549",18.3,"up",8.13695836458421,"success",46,0.1,1,10,1,1
"1550",17.9,"up",7.99637369315622,"success",47,0.1,1,10,1,1
"1551",17.6,"up",7.86549885117069,"success",48,0.1,1,10,1,1
"1552",17.3,"up",7.7413386696447,"success",49,0.1,1,10,1,1
"1553",17,"up",7.62338954878886,"success",50,0.1,1,10,1,1
"1554",16.7,"up",7.51136991191016,"success",51,0.1,1,10,1,1
"1555",16.5,"up",7.40697371429071,"success",52,0.1,1,10,1,1
"1556",16.2,"up",7.30528912226954,"success",53,0.1,1,10,1,1
"1557",16,"up",7.21051927781392,"success",54,0.1,1,10,1,1
"1558",15.7,"up",7.11797328759983,"success",55,0.1,1,10,1,1
"1559",15.5,"up",7.03177889335414,"success",56,0.1,1,10,1,1
"1604",34.8,"up",14.4770755245994,"success",38,0.1,1,15,1,1
"1605",33.4,"up",14.0769783825793,"success",39,0.1,1,15,1,1
"1606",32.2,"up",13.6922592426762,"success",40,0.1,1,15,1,1
"1607",31.1,"up",13.32136206214,"success",41,0.1,1,15,1,1
"1608",30,"up",12.9617931220966,"success",42,0.1,1,15,1,1
"1609",29.1,"up",12.6268780735331,"success",43,0.1,1,15,1,1
"1610",28.3,"up",12.3109326306356,"success",44,0.1,1,15,1,1
"1611",27.5,"up",12.0089813244238,"success",45,0.1,1,15,1,1
"1612",26.8,"up",11.7256585981427,"success",46,0.1,1,15,1,1
"1613",26.2,"up",11.4600699656989,"success",47,0.1,1,15,1,1
"1614",25.5,"up",11.2031987587508,"success",48,0.1,1,15,1,1
"1615",25,"up",10.9665633544044,"success",49,0.1,1,15,1,1
"1616",24.4,"up",10.7377044816549,"success",50,0.1,1,15,1,1
"1617",23.9,"up",10.5234115972773,"success",51,0.1,1,15,1,1
"1618",23.4,"up",10.3194112618977,"success",52,0.1,1,15,1,1
"1619",23,"up",10.1282159358527,"success",53,0.1,1,15,1,1
"1620",22.6,"up",9.9459625580357,"success",54,0.1,1,15,1,1
"1621",22.2,"up",9.77205239623797,"success",55,0.1,1,15,1,1
"1622",21.8,"up",9.6060482837278,"success",56,0.1,1,15,1,1
"1623",21.4,"up",9.44750118704785,"success",57,0.1,1,15,1,1
"1624",21.1,"up",9.29856324057354,"success",58,0.1,1,15,1,1
"1625",20.7,"up",9.15349584323935,"success",59,0.1,1,15,1,1
"1626",20.4,"up",9.01714538726162,"success",60,0.1,1,15,1,1
"1627",20.1,"up",8.88644378539363,"success",61,0.1,1,15,1,1
"1628",19.8,"up",8.761151290135,"success",62,0.1,1,15,1,1
"1629",19.5,"up",8.64095453805331,"success",63,0.1,1,15,1,1
"1630",19.3,"up",8.52782366377623,"success",64,0.1,1,15,1,1
"1631",19,"up",8.41678778104306,"success",65,0.1,1,15,1,1
"1632",18.7,"up",8.31008397335495,"success",66,0.1,1,15,1,1
"1633",18.5,"up",8.20963696521098,"success",67,0.1,1,15,1,1
"1634",18.3,"up",8.11290549404266,"success",68,0.1,1,15,1,1
"1635",18,"up",8.01748303510626,"success",69,0.1,1,15,1,1
"1636",17.8,"up",7.92771090758214,"success",70,0.1,1,15,1,1
"1637",17.6,"up",7.84116272486592,"success",71,0.1,1,15,1,1
"1638",17.4,"up",7.7576164888278,"success",72,0.1,1,15,1,1
"1639",17.2,"up",7.676894937522,"success",73,0.1,1,15,1,1
"1640",17,"up",7.59890330591312,"success",74,0.1,1,15,1,1
"1641",16.8,"up",7.52356733845809,"success",75,0.1,1,15,1,1
"1642",16.6,"up",7.45074891126126,"success",76,0.1,1,15,1,1
"1643",16.4,"up",7.38025517446656,"success",77,0.1,1,15,1,1
"1644",16.3,"up",7.31412578431551,"success",78,0.1,1,15,1,1
"1645",16.1,"up",7.24792725587269,"success",79,0.1,1,15,1,1
"1646",15.9,"up",7.18380329142763,"success",80,0.1,1,15,1,1
"1647",15.8,"up",7.12385356435337,"success",81,0.1,1,15,1,1
"1648",15.6,"up",7.06362817759657,"success",82,0.1,1,15,1,1
"1649",15.5,"up",7.00735085721182,"success",83,0.1,1,15,1,1
"1650",15.3,"up",6.95050121943897,"success",84,0.1,1,15,1,1
"1667",34.9,"up",14.4763696464957,"success",50,0.1,1,20,1,1
"1668",33.9,"up",14.1821375149502,"success",51,0.1,1,20,1,1
"1669",32.9,"up",13.8866343009596,"success",52,0.1,1,20,1,1
"1670",32,"up",13.6001833469966,"success",53,0.1,1,20,1,1
"1671",31.1,"up",13.3184249687771,"success",54,0.1,1,20,1,1
"1672",30.4,"up",13.0548248584344,"success",55,0.1,1,20,1,1
